1870    1 .                               
1870    2 .                               
1870    3 .                               
1870    4 .                               
1870    5 .                               
1870    6 .                               
1870    7 .                               
1870    8 .                               
1870    9 18.6000                         
1870   10 16.2000                         
1870   11 16.4000                         
1870   12 15.3000                         
1871    1 15.3000                         
1871    2 15.3000                         
1871    3 15.0000                         
1871    4 15.0000                         
1871    5 16.1000                         
1871    6 20.0000                         
1871    7 20.9000                         
1871    8 19.2000                         
1871    9 20.4000                         
1871   10 19.6000                         
1871   11 18.7000                         
1871   12 19.9000                         
1872    1 21.5000                         
1872    2 23.0000                         
1872    3 22.6000                         
1872    4 23.5000                         
1872    5 24.7000                         
1872    6 26.4000                         
1872    7 23.6000                         
1872    8 21.8000                         
1872    9 20.2000                         
1872   10 19.6000                         
1872   11 19.3000                         
1872   12 20.0000                         
1873    1 20.7000                         
1873    2 21.1000                         
1873    3 20.0000                         
1873    4 19.5000                         
1873    5 19.2000                         
1873    6 20.4000                         
1873    7 21.0000                         
1873    8 20.1000                         
1873    9 19.5000                         
1873   10 17.2000                         
1873   11 15.1000                         
1873   12 16.1000                         
1874    1 16.4000                         
1874    2 16.0000                         
1874    3 16.3000                         
1874    4 17.3000                         
1874    5 18.4000                         
1874    6 17.9000                         
1874    7 17.3000                         
1874    8 17.0000                         
1874    9 16.6000                         
1874   10 15.1000                         
1874   11 15.0000                         
1874   12 14.3000                         
1875    1 15.0000                         
1875    2 15.6000                         
1875    3 16.4000                         
1875    4 16.5000                         
1875    5 16.1000                         
1875    6 15.5000                         
1875    7 15.2000                         
1875    8 14.4000                         
1875    9 14.0000                         
1875   10 13.9000                         
1875   11 13.4000                         
1875   12 13.2000                         
1876    1 13.1000                         
1876    2 13.0000                         
1876    3 13.0000                         
1876    4 13.2000                         
1876    5 12.2000                         
1876    6 12.0000                         
1876    7 11.8000                         
1876    8 12.1000                         
1876    9 11.4000                         
1876   10 11.0000                         
1876   11 11.9000                         
1876   12 12.2000                         
1877    1 13.1000                         
1877    2 12.8000                         
1877    3 11.9000                         
1877    4 11.3000                         
1877    5 11.0000                         
1877    6 11.8000                         
1877    7 12.2000                         
1877    8 11.4000                         
1877    9 11.2000                         
1877   10 11.3000                         
1877   11 11.1000                         
1877   12 11.4000                         
1878    1 11.2000                         
1878    2 11.0000                         
1878    3 10.9000                         
1878    4 10.6000                         
1878    5 11.0000                         
1878    6 11.4000                         
1878    7 11.5000                         
1878    8 12.0000                         
1878    9 11.4000                         
1878   10 10.0000                         
1878   11 9.30000                         
1878   12 9.20000                         
1879    1 9.40000                         
1879    2 9.60000                         
1879    3 10.0000                         
1879    4 11.5000                         
1879    5 12.7000                         
1879    6 12.7000                         
1879    7 12.0000                         
1879    8 11.7000                         
1879    9 11.9000                         
1879   10 10.8000                         
1879   11 11.9000                         
1879   12 12.8000                         
1880    1 12.7000                         
1880    2 13.0000                         
1880    3 13.2000                         
1880    4 12.2000                         
1880    5 11.8000                         
1880    6 11.9000                         
1880    7 11.8000                         
1880    8 11.7000                         
1880    9 11.8000                         
1880   10 11.2000                         
1880   11 11.3000                         
1880   12 11.9000                         
1881    1 11.9000                         
1881    2 11.6000                         
1881    3 11.0000                         
1881    4 10.8000                         
1881    5 10.7000                         
1881    6 11.1000                         
1881    7 11.5000                         
1881    8 12.3000                         
1881    9 12.2000                         
1881   10 11.6000                         
1881   11 11.8000                         
1881   12 12.0000                         
1882    1 11.9000                         
1882    2 11.8000                         
1882    3 12.0000                         
1882    4 12.2000                         
1882    5 12.2000                         
1882    6 12.3000                         
1882    7 12.8000                         
1882    8 13.0000                         
1882    9 12.4000                         
1882   10 11.1000                         
1882   11 10.5000                         
1882   12 10.3000                         
1883    1 10.2000                         
1883    2 10.2000                         
1883    3 10.2000                         
1883    4 10.2000                         
1883    5 10.8000                         
1883    6 10.5000                         
1883    7 10.1000                         
1883    8 10.1000                         
1883    9 10.4000                         
1883   10 10.6000                         
1883   11 10.5000                         
1883   12 10.4000                         
1884    1 10.6000                         
1884    2 10.8000                         
1884    3 11.0000                         
1884    4 11.8000                         
1884    5 11.6000                         
1884    6 11.4000                         
1884    7 11.0000                         
1884    8 10.9000                         
1884    9 10.6000                         
1884   10 10.0000                         
1884   11 10.2000                         
1884   12 11.0000                         
